"index","position","effect"
2996,"1887449-1",-0.237056717235843
4493,"2778963-1",-1.88425269751163
35656,"21943121-1",-0.161750688390661
47387,"27411885-1",0.0242842516618098
47494,"27448515-1",0.139846814999405
62399,"6956543-2",-0.256716779457571
73719,"15050483-2",-0.425596122300146
87369,"4098261-3",0.952037694927867
88937,"5056010-3",-0.981582411630729
89964,"5587588-3",-0.0730412560732724
126598,"1175587-4",1.2291771428579
140214,"7897861-4",-0.0456419783368384
141410,"8280985-4",0.0176288805826252
144429,"9464892-4",-3.53817985998065
169339,"4853071-5",0.398001031817778
204796,"21713796-5",0.301018621338428
205630,"22192979-5",0.0796041742854589
206871,"22881055-5",-0.0223769253184275
207627,"23362323-5",-0.434931993522047
207692,"23399013-5",0.158305862131337
