"index","position","effect"
490,"269680-1",0.0574353529235641
11657,"6806689-1",0.00220910530329219
36301,"22266850-1",0.0455313235089378
40115,"23780194-1",-0.586041627263341
41977,"24451943-1",-0.0271899948115455
51629,"30223019-1",0.0611334292277344
70507,"12563105-2",0.00838251517724515
76266,"16922627-2",0.00115651568623779
94217,"7789812-3",-0.0656329227611744
129478,"2461422-4",0.124069463388713
139505,"7622889-4",0.519720350565778
146941,"10443633-4",0.722182722172474
150772,"12251173-4",-0.499498153609266
157509,"16432436-4",0.104110838054335
163077,"987730-5",-0.0185271818185464
163415,"1202368-5",-0.0808580422876379
177748,"8678024-5",0.343226521506012
205006,"21866259-5",-0.0350141153124132
208729,"23975899-5",0.650190499661563
209958,"24670120-5",0.0105916757687327
