"index","position","effect"
2512,"1564058-1",-0.266032228854045
30915,"18899422-1",-0.0190137875045925
33363,"20752295-1",0.00260199455182685
45181,"26192820-1",-3.55559897068046e-05
46670,"27028134-1",0.0165807627270186
47704,"27598999-1",0.0131044241095178
93943,"7619510-3",-0.112303681947924
119249,"20789060-3",0.168763781718852
122212,"22398285-3",-0.00139909135045895
134848,"5850771-4",-0.0209722143944601
166098,"3024489-5",-0.0011773961896891
166860,"3401440-5",0.182178551184997
170766,"5600969-5",0.474334935423151
173092,"6721525-5",-0.248314681811537
178896,"9169463-5",0.227460708279025
188378,"14849885-5",0.114512216946837
190531,"15656779-5",2.18184444116865
193140,"16859797-5",-0.490659565397297
194538,"17341534-5",-0.00954888225372656
195925,"17762860-5",0.288645921068413
