"index","position","effect"
699,"412683-1",0.501918289528748
2200,"1331415-1",0.0482854037145258
17851,"10413776-1",-0.924178389595933
28775,"17643433-1",-0.298425105316074
37692,"22808774-1",-0.000806893140415578
38999,"23369732-1",0.969333657609915
41979,"24452625-1",-0.0329251194297329
43976,"25487709-1",-0.0584149072213013
52932,"622914-2",-0.00971030095031992
65756,"8971357-2",-3.59004919166926
66297,"9374378-2",-0.293899422613343
68337,"10896378-2",0.0972842843764845
82573,"1174416-3",-1.27558749827084
97230,"9213018-3",0.705098018113118
157894,"16698547-4",-0.0170725600190258
167473,"3664351-5",0.010314996539496
174300,"7196612-5",1.81378266459127
202735,"20746151-5",-0.0318154726335243
207356,"23189489-5",0.764754317316182
208561,"23910789-5",-0.51950887917724
