"index","position","effect"
2962,"1864671-1",-0.155940096452379
9941,"5832993-1",-0.172847706875103
11769,"6872918-1",0.0507209776531296
16429,"9535398-1",-0.139084226313956
22205,"12384261-1",0.0511984526433768
34393,"21405008-1",0.218251558637735
37105,"22580239-1",0.898001998364149
66911,"9998873-2",0.160508235519763
72614,"14168254-2",-0.623367060009218
81846,"802410-3",0.0531932766836465
97281,"9225243-3",0.0104409708924933
98119,"9576174-3",-0.503964807397257
98703,"9809834-3",0.379128663842736
101963,"11297647-3",0.253611721981
129688,"2539539-4",1.62529379225896
147149,"10515690-4",-0.0338784744241975
155623,"15287251-4",-2.43794949313425
173166,"6754260-5",-0.424861189356768
176119,"8023598-5",1.10791095685211
203134,"20925394-5",-0.0039933153883441
