"index","position","effect"
712,"415297-1",1.56311046089953
3773,"2341538-1",-0.511670746202447
4806,"3006877-1",-0.944834608444993
10124,"5897040-1",1.04085061307492
10952,"6386933-1",-0.492441806617899
14045,"8171441-1",3.5619277227299
34366,"21391761-1",0.668319510961828
46041,"26692480-1",0.142528061461738
51111,"29929257-1",-0.790739031557062
68413,"10950517-2",0.0153936567540834
79459,"18958146-2",0.235976329024707
93913,"7609202-3",-0.575660628884447
122477,"22598678-3",-0.0832771770859558
154689,"14569339-4",0.193852434825656
160720,"18521089-4",-0.38785236564714
174277,"7188410-5",1.2032296325821
190721,"15770644-5",-0.0710555381522266
196764,"18082262-5",-0.0420519889865405
203812,"21259863-5",-0.613507717914203
207218,"23101112-5",0.354254871175136
