"index","position","effect"
4745,"2968206-1",-0.237343917492248
15691,"9046125-1",-0.00133757524342723
30173,"18336144-1",-0.748311830993481
34284,"21359116-1",3.659594564309
41309,"24213577-1",-0.318072132685749
54247,"1359037-2",-1.32828382035619
64385,"8082940-2",-0.271966477764848
79289,"18811695-2",0.2337308038032
82182,"980430-3",0.245173373905614
115458,"18558612-3",0.0173306017340029
116381,"19053642-3",0.164074299831365
122541,"22633009-3",0.00446350280368512
155543,"15231269-4",0.661910518203783
158640,"17212130-4",0.288322815448236
175753,"7869357-5",0.529233635155904
177256,"8490933-5",-0.0400739816252373
197853,"18447082-5",1.04267825497425
200546,"19623169-5",-0.0870269450110996
203521,"21107893-5",0.010705598087203
213026,"26482463-5",-0.810391397264801
