"index","position","effect"
3245,"2024184-1",-0.0235058099747356
10585,"6146567-1",1.98694926857474
12388,"7198045-1",0.686716925323524
16705,"9728803-1",0.295767576375521
19999,"11435643-1",0.559101038287305
20075,"11464830-1",0.0599212468946246
33341,"20736214-1",-3.85597854258584e-06
48913,"28452729-1",2.4771648984135
59734,"5051495-2",0.591269667163249
73392,"14788911-2",0.998489707671657
82906,"1397549-3",0.469362509688742
93910,"7608224-3",0.0161623768834571
117714,"19865367-3",-0.491205567295662
123744,"23363868-3",-0.0810859714026315
135272,"6121019-4",1.14623278477978
180458,"9829593-5",0.226428804963003
192227,"16485537-5",0.0140968009808387
193365,"16949154-5",-0.56421310968096
200415,"19567306-5",0.0546345540667148
203961,"21331188-5",-0.616645084802898
