"index","position","effect"
10223,"5926985-1",-0.332919127973656
12503,"7277186-1",-0.0815713932908568
14588,"8412922-1",-0.0624123962550513
15063,"8626217-1",0.323740509904793
16701,"9726774-1",0.126450245537554
35979,"22096231-1",-0.881438570303671
47173,"27319254-1",0.00174595507187262
50658,"29739964-1",-1.0112010179152
64069,"7914106-2",0.0400778606038645
68384,"10917720-2",0.0567450665122945
84629,"2444011-3",0.0506802431111481
114442,"18072490-3",-2.56133774700293
123037,"22949721-3",0.793603562714105
135814,"6334056-4",-0.111017642352337
151013,"12377054-4",0.011762240287158
170180,"5301461-5",0.148349094449258
196008,"17801664-5",0.635810392226242
202454,"20513574-5",0.0224966923072231
203962,"21331328-5",0.0177972236420685
208825,"24011669-5",-1.79093912229898
