"index","position","effect"
13508,"7904586-1",0.77239717596322
17212,"10020732-1",-0.022356049256124
39757,"23672402-1",-0.595070740398397
52422,"318484-2",-1.62712798767306
68473,"11024363-2",-0.101762303828028
89407,"5342097-3",-1.5392854538616
97024,"9151968-3",-0.00379396415719668
111407,"16706969-3",0.367507537759377
111881,"16918767-3",1.21656870161831
116758,"19308647-3",0.32923356680394
129519,"2479196-4",-1.02817153412267
139700,"7669213-4",0.000136258263968027
143295,"9017917-4",-1.31538739891034
163382,"1182329-5",-0.566274794344462
166109,"3034558-5",0.697290163749755
173399,"6843291-5",-0.023612226185953
173805,"6984682-5",4.13136918878366e-05
188489,"14890617-5",-0.0868980300681429
198347,"18581984-5",7.49567186364623e-05
201735,"20152877-5",-0.0661149364068516
