"index","position","effect"
5950,"3574512-1",0.230758187987964
17442,"10150235-1",1.50031939882182
21130,"11922764-1",0.826252985595722
34420,"21412861-1",0.0174791137657137
39333,"23496696-1",0.0257591410996186
50195,"29436623-1",-0.654959786575367
85956,"3308722-3",0.0812818604494078
115017,"18323927-3",0.00710276084976388
117360,"19655216-3",0.473320024259851
121573,"22025246-3",-0.0244113632050852
121757,"22105777-3",-0.312019050687244
151341,"12602442-4",-0.560534458925009
159814,"17969874-4",0.00304603440366578
170514,"5462408-5",-0.234684326544577
175317,"7685819-5",0.0376524747401724
178286,"8906002-5",-0.173719193729876
191314,"16045164-5",-0.0152816519353855
195341,"17576864-5",0.087448604695245
204035,"21364732-5",0.0365269382716394
210307,"24939425-5",0.709916538081164
