"index","position","effect"
39904,"23717555-1",0.195554889802792
45374,"26284411-1",0.0198669088825633
46724,"27070752-1",-0.301641127195834
47491,"27447040-1",0.290846856247951
50512,"29639921-1",-0.0230615197061217
72886,"14383199-2",2.28642437632506
73228,"14687636-2",0.236082102661436
78763,"18387688-2",-0.0561139022215847
89564,"5397915-3",-0.484550104165931
91007,"6120328-3",-0.953052518137028
91427,"6293361-3",-0.0211760825891683
125745,"811469-4",-0.00691281062783146
142105,"8541517-4",-5.26966656498325e-06
145891,"10040770-4",-0.719748980489817
161072,"127914-5",0.719752947268003
161756,"452536-5",2.01514198592214
170881,"5649764-5",0.0934535357657984
172719,"6546770-5",-0.132768285877435
187320,"14191786-5",-0.0950701394784061
207702,"23404928-5",-0.467793393375475
