"index","position","effect"
3813,"2361489-1",-0.195714141054722
5333,"3279598-1",0.208617600296583
11485,"6715836-1",3.02813386062595
11766,"6872476-1",-0.186013564709516
17312,"10076482-1",-0.206437349343267
46535,"26937208-1",0.147899237497363
48773,"28359469-1",-0.331906509265378
70817,"12772640-2",5.7176905767404
85236,"2861207-3",-0.0305406855409625
88945,"5064067-3",0.0765221302156927
97185,"9199502-3",-0.0823225486068558
99633,"10282624-3",-0.922281340554384
126135,"972450-4",-0.00517606293551727
140331,"7937259-4",-0.0185667890453821
141907,"8458883-4",-0.0961494860511162
170269,"5331111-5",-0.138493066830142
172387,"6408574-5",0.0857367041210998
176195,"8048366-5",0.772790328494679
178188,"8861012-5",-0.600549500594459
202359,"20467125-5",1.35189644200748
