"index","position","effect"
28955,"17708534-1",0.354187875938589
34227,"21335179-1",0.0460363825832177
40029,"23753138-1",-0.641847718285355
44108,"25579986-1",0.218268667395463
46651,"27023090-1",0.122305753995673
65043,"8450869-2",0.22588778783507
66288,"9368421-2",-0.0702479072849416
67096,"10206542-2",0.105981468334662
79352,"18854753-2",0.048101374235122
80930,"305071-3",0.256481234018516
165789,"2812000-5",-0.135798442031704
168986,"4624741-5",0.00767175729043528
170296,"5341146-5",-0.0586683768788896
173567,"6891226-5",-0.605350793140403
177205,"8477446-5",-0.101803696538854
191316,"16045732-5",0.00457990825383326
192509,"16637496-5",0.576293512868978
195350,"17580408-5",-2.57566168555958
213623,"26737771-5",-3.46821172432322
214018,"26956057-5",0.223204130472194
