"index","position","effect"
2647,"1637600-1",-0.0143455619773498
7969,"4663285-1",-0.396403720861398
20898,"11809547-1",-0.693020400842009
26914,"16694205-1",-0.242684594908669
35577,"21921416-1",-0.0921874138845403
38580,"23191349-1",-0.0711078235891935
47587,"27522317-1",0.0354146997486097
50220,"29456734-1",0.640987207527825
83669,"1829273-3",0.272034298822579
90457,"5812704-3",1.13231562829909
123714,"23341434-3",-0.41356065231005
124019,"96851-4",-0.90997982147024
127319,"1472208-4",1.46046624571867
155335,"15079352-4",0.794286844654591
163440,"1211247-5",-0.641860333401972
169113,"4709492-5",-0.00131181843625745
172189,"6300862-5",-0.0148142969506407
176196,"8048585-5",0.00304530229971168
202259,"20391591-5",-1.0326102025336
204841,"21745220-5",0.118625089324308
