"index","position","effect"
751,"434620-1",-0.241053854517313
3317,"2054423-1",0.558636980669005
14433,"8346100-1",0.0338280989585433
21822,"12210333-1",-1.62099223956523
22603,"12573451-1",0.692121974854738
31545,"19347265-1",0.354052675941812
41172,"24179173-1",-0.00170513660805437
43587,"25279364-1",-0.105805019507384
44061,"25549725-1",-0.29803374732932
52945,"628723-2",-0.146483999912012
73187,"14667504-2",0.102781146897971
85854,"3249185-3",-0.06057041974166
115227,"18430004-3",-0.489746724307659
167421,"3630483-5",-0.0570561625789779
171012,"5707613-5",-1.03203138281267
172861,"6606741-5",-0.129651948378171
195024,"17491967-5",1.49189566253126e-06
202539,"20563837-5",-0.926699004755939
206802,"22855731-5",0.54725047108495
208354,"23832485-5",-0.732715694607882
