"index","position","effect"
3109,"1942075-1",-0.657442706850335
14904,"8541526-1",0.537335631322356
15295,"8721272-1",0.148777601725585
30011,"18246699-1",0.0287928848554472
37272,"22667221-1",-0.346637628634896
40002,"23746278-1",-0.499627821513914
43579,"25277672-1",-0.00389868909222609
45927,"26594763-1",-0.0178278313447339
57159,"3034268-2",-1.23478440437056
79310,"18826763-2",0.201022064431667
83895,"1974344-3",1.78129012172459e-07
112684,"17288285-3",0.00585327607890411
121601,"22038841-3",0.35769609533753
126234,"1015950-4",0.485409575180972
161206,"193427-5",-0.348862566046068
190983,"15888860-5",-0.189438131144264
199377,"19031930-5",0.847372715124
201263,"19924188-5",0.36073746721076
209160,"24134614-5",0.0320833203956918
213238,"26560622-5",-0.79155978125597
