"index","position","effect"
5302,"3268177-1",0.0188573517884422
5385,"3295086-1",-1.43880072176549
30170,"18334353-1",0.141030324665793
30172,"18336013-1",-0.058542325729327
31294,"19184441-1",0.00334593213872203
51813,"30319725-1",0.0646550598549236
66117,"9241114-2",-0.297339183809255
79908,"19316213-2",0.0393030791356107
85982,"3326295-3",0.483110951499568
93345,"7307197-3",0.127083889473725
135935,"6383410-4",-0.0530815466936261
136693,"6681964-4",-0.00496758499688656
162481,"774453-5",0.00674517091386787
167460,"3654981-5",-0.64222462456208
194487,"17329503-5",-0.00409416607671503
195719,"17699214-5",2.56407973872054
195817,"17720994-5",0.0570571827817573
207696,"23400259-5",1.0585011225215
211395,"25583261-5",-0.0142822476129143
212840,"26408608-5",3.37205616172825
