"index","position","effect"
7983,"4679827-1",0.857446877893699
10751,"6246681-1",-0.188034912113065
17241,"10036986-1",-0.238230902270436
22899,"12840383-1",0.394283732719475
31868,"19584168-1",0.135785715516756
39382,"23532021-1",0.514450568568865
45948,"26619441-1",0.451289714346462
58011,"4065751-2",0.448585368357849
60838,"5683545-2",0.0964658360575628
63252,"7460563-2",0.000137870776959369
97511,"9293274-3",1.93159567684993
109995,"15949364-3",3.59634815513455
118007,"20022789-3",-0.0821411176795372
120313,"21338016-3",1.19461387690679
136011,"6408836-4",-0.0565613882623522
161885,"492519-5",0.657912867356561
164084,"1654956-5",-0.476711670894742
177561,"8592037-5",0.293784473554104
179318,"9376062-5",0.0063433264613261
198951,"18799342-5",0.335295546675177
