"index","position","effect"
7321,"4323038-1",-0.28307851841218
10430,"6066071-1",-1.26531120030614
18070,"10500531-1",-0.790892839319112
22194,"12376640-1",0.8457369300795
23188,"12973631-1",-0.555765942417785
26549,"16448529-1",0.196027772278065
30712,"18727188-1",-0.0211826336602291
32443,"19910739-1",2.31897128401024
65453,"8715993-2",-0.0930793603330841
73504,"14882742-2",0.286260351009636
85918,"3293852-3",0.00352088106724038
98272,"9632608-3",0.286972219298705
111977,"16971350-3",-0.476021032159189
117486,"19722686-3",1.63367193164095
167923,"3913634-5",0.493542880655487
168532,"4305235-5",0.0624257802624677
169349,"4856090-5",-0.634379838280841
176840,"8329395-5",2.95673706516437
186230,"13693414-5",0.268006018486957
199934,"19341529-5",0.103795999032724
