"index","position","effect"
1027,"578991-1",1.60559129384233
5288,"3264631-1",-0.0890314133497755
22809,"12706929-1",0.0209754488475513
38255,"23028935-1",-0.427513079490853
53672,"996721-2",-0.00277692732698113
78543,"18280200-2",0.992787238397975
84504,"2370574-3",-0.226711992836777
96381,"8945843-3",1.1446188988037
116015,"18845628-3",-0.518779573210834
155940,"15463648-4",-0.340919087007443
165101,"2337658-5",0.0800346567851768
174072,"7087473-5",0.01300169077917
184673,"12640565-5",-0.0995776701655463
189409,"15232064-5",0.174222207153784
192854,"16763156-5",-0.0633246953480733
195652,"17680763-5",-0.000139072331305603
195756,"17707035-5",0.0796276578726087
200271,"19487465-5",0.000614876538710551
210943,"25351479-5",0.256742367828122
212669,"26344407-5",0.820019588442445
