"index","position","effect"
196,"120376-1",-0.405358327928478
3281,"2040978-1",-0.278344670689788
9541,"5600970-1",0.00815474476325415
11997,"7014733-1",-0.035558835739187
17618,"10282226-1",-0.011749326320409
26860,"16656912-1",-4.6999729523896
28707,"17616315-1",-0.271581831254985
31957,"19623246-1",0.52718060854322
37218,"22617541-1",0.222583169509296
40416,"23886424-1",0.69662307724563
61227,"5952361-2",0.143218232580018
75287,"16312139-2",-0.143741271400354
102042,"11345238-3",0.181613508990834
102734,"11701513-3",0.0613395848144296
110777,"16373035-3",-1.11514836154792
120156,"21269640-3",-0.450380694677892
166439,"3195917-5",1.7028227077735
175711,"7854992-5",1.05736844770012
188831,"15017786-5",-0.00963198003104869
200451,"19584537-5",-0.41863227522233
