"index","position","effect"
966,"539658-1",-0.826079977693597
8680,"5137245-1",0.464858092727419
9503,"5582879-1",0.0687262472373997
14706,"8479079-1",-0.630782322755414
17366,"10111215-1",-0.26701882685174
44312,"25742707-1",-0.175248712349289
44731,"25998099-1",0.454702568292591
60765,"5649084-2",0.0388351309271423
70441,"12488101-2",-0.730379637374339
80487,"45052-3",-0.153227076050674
84989,"2694405-3",-0.102194566547421
85572,"3068132-3",0.23082921155117
88645,"4880688-3",0.378465274370174
114920,"18278208-3",2.09423843884204
135414,"6159939-4",0.515984507026562
144636,"9551715-4",0.13710787604317
191274,"16033405-5",-0.0282949762958612
193199,"16895957-5",0.458141070394451
200752,"19692010-5",-0.426365632436407
204772,"21701038-5",1.54688477673126
