"index","position","effect"
4721,"2959542-1",1.37467764563814
8879,"5261771-1",0.16801240202052
9609,"5630575-1",-0.52196101520778
10578,"6144367-1",0.0620956122893258
15194,"8680246-1",-0.59936685283083
27819,"17232377-1",3.27353032865856
32026,"19653809-1",-0.544506014897117
33627,"20928756-1",-0.251488886231992
40012,"23749604-1",-0.100345362330832
47134,"27299907-1",1.9625339171428
71853,"13706100-2",-0.0630914435409869
73796,"15166520-2",-0.00696989518288053
76580,"17141309-2",-0.055517410652518
115960,"18813382-3",-0.0459316549363437
121734,"22098605-3",-0.0213772807713024
173198,"6771309-5",0.715859004779904
190153,"15506171-5",-0.492796300796696
191304,"16042660-5",-0.988915575478826
199204,"18928760-5",-1.32246912404512
204671,"21639866-5",-3.84300256139645
