"index","position","effect"
1548,"915982-1",-0.205503532290006
9558,"5612286-1",-0.0109079134134572
13116,"7701127-1",-0.59429063282635
14570,"8402914-1",0.0134050636734011
17854,"10414318-1",2.09313751649585
18906,"11006660-1",1.33798794328476
33701,"20994411-1",-0.000887768767531493
37304,"22684086-1",-0.0629951215673763
44390,"25772489-1",0.00666476120158845
72515,"14097483-2",-0.147746878750815
90243,"5693914-3",0.00111370138304172
93616,"7425134-3",-0.114411970583787
100164,"10494020-3",-0.22221236290384
139032,"7432518-4",-0.0109080260975243
186584,"13872834-5",0.433939602003739
191098,"15931243-5",0.52578998124093
197659,"18389265-5",2.24157503815676
202952,"20867317-5",0.236572259499936
204689,"21650775-5",-1.71983079088727
211285,"25538506-5",0.198532342699163
