"index","position","effect"
5870,"3522764-1",0.0137602139339949
38160,"22986432-1",-1.27087486805193
40700,"24021345-1",3.13173320673287
60735,"5639045-2",-0.172977748486998
63429,"7528705-2",-0.050766094748487
80947,"315503-3",0.0833238797939174
88823,"4976256-3",-0.103073224158712
89290,"5289455-3",0.135527366888483
109375,"15688491-3",-0.030994562824747
112607,"17252898-3",0.245657532432793
115609,"18635970-3",-0.00296487175452739
117651,"19827173-3",0.479747065411534
122277,"22435549-3",0.0587083514570454
125844,"858912-4",-0.0799581640811013
125882,"876540-4",0.00611322512520309
135372,"6148524-4",0.106012321120221
176934,"8369594-5",0.691545850648056
203961,"21331188-5",0.25120877245487
211585,"25690580-5",0.00705429788182112
211652,"25725346-5",-0.191359538484142
