"index","position","effect"
1352,"779812-1",1.99613420128461
12839,"7488541-1",-0.800247165194795
14801,"8511914-1",-0.13558906237024
21493,"12077170-1",1.05750704438115
24061,"13411974-1",1.02195915944715
44194,"25641944-1",-0.000111371117536367
64096,"7923267-2",0.856757497126463
82481,"1129087-3",0.055379190741855
102679,"11680511-3",-0.0486329504387822
118300,"20231934-3",1.80123760279895e-05
144395,"9456333-4",0.166430285885866
164791,"2167867-5",-0.352263196423035
175096,"7561220-5",-0.066896575253466
175665,"7834857-5",-0.811632502711122
188548,"14905251-5",0.922747288990646
194397,"17306823-5",0.332705643820629
203963,"21332061-5",0.0534939568270789
204186,"21423237-5",-0.665310067931597
204955,"21830540-5",0.392164246471716
213735,"26788217-5",-0.627376103809713
