"index","position","effect"
3886,"2408005-1",0.0693607836456441
8230,"4855535-1",0.472829471468408
16437,"9537952-1",-0.340588231768092
22983,"12886626-1",-0.311559895493261
35433,"21865697-1",0.0308590203805516
42946,"24951486-1",0.0158570156661955
47363,"27406083-1",0.000918018189383576
79840,"19280054-2",0.0224491170671323
81999,"884989-3",0.237611962837624
84063,"2110116-3",0.0318390800627545
94591,"8015966-3",0.722892229563404
96688,"9039658-3",0.807039881871908
117581,"19786490-3",0.0170634221181675
163024,"963851-5",0.280187722635831
164261,"1785773-5",0.00171991377215903
165038,"2295155-5",0.323590875632972
166068,"3007867-5",-0.425300761377831
172845,"6597761-5",-0.616703456361533
184852,"12728975-5",0.421469442435602
207279,"23155237-5",-0.0364937740305449
