"index","position","effect"
3390,"2108745-1",-0.154337578293832
24618,"13680211-1",-0.866154178520224
37169,"22598765-1",-0.0260414843471629
39485,"23570376-1",-0.04150811509946
40491,"23914289-1",-0.912250861494961
48050,"27825697-1",-1.45036987071557
49709,"29155996-1",0.0416667532379434
70239,"12350855-2",0.00826072458440084
85130,"2764197-3",0.733536387105942
86546,"3579062-3",0.0370671638106743
113120,"17463828-3",0.021675829597422
118513,"20385090-3",0.717356446392039
126517,"1135406-4",-0.362134478811929
152493,"13258345-4",0.171403167282093
159321,"17587884-4",0.0840237857584048
159811,"17967034-4",0.234438060134152
173429,"6848932-5",0.0369403754471422
194360,"17297501-5",-1.42720927598353
199408,"19047334-5",-0.0648350808036947
209644,"24446337-5",-0.0407729267280089
