"index","position","effect"
10233,"5929082-1",1.20280108181818e-05
22957,"12872285-1",0.889549052610408
28230,"17390220-1",-0.605301433539476
31453,"19294306-1",0.541189786491122
48167,"27899243-1",-0.414243873008709
51618,"30216388-1",0.000974667135308573
77368,"17602374-2",-0.568173024056309
77563,"17697770-2",0.0975968958696626
84823,"2611786-3",0.00384360815487944
86815,"3739445-3",-0.311261374005434
102428,"11575608-3",0.0523502309837622
114746,"18214670-3",-0.380627463265566
148077,"10867296-4",-0.682973109353248
155117,"14919443-4",-1.53781740375304
162765,"843225-5",0.0491403699989007
172952,"6653689-5",0.0695263406290196
198398,"18600530-5",0.198267744395421
204352,"21492935-5",-0.153707811720984
204791,"21710871-5",-0.069049486438669
209544,"24371285-5",0.0384896071472433
