"index","position","effect"
27132,"16837517-1",0.20590808204257
29787,"18102836-1",2.56035506477489
40565,"23953950-1",0.652572547311895
66062,"9180181-2",-0.000206897788750504
81100,"393525-3",0.0524193787524617
82646,"1222563-3",0.00605222599354922
85141,"2780279-3",-0.404812464084564
99852,"10374397-3",-0.242927298821603
113396,"17583812-3",0.0117736195860017
119344,"20829374-3",0.0426355896302631
149846,"11795043-4",-0.0156897191805372
160714,"18515989-4",-0.0686648674988906
165507,"2616299-5",1.09425175092729
165933,"2904104-5",0.291112651163591
171822,"6098120-5",-0.171385729947922
190450,"15617141-5",0.262539040144695
190543,"15695236-5",0.238931685730794
192040,"16398532-5",0.628996262477197
213101,"26505537-5",0.620197520901734
213210,"26553266-5",0.0348234088435411
