"index","position","effect"
15808,"9115259-1",-0.540395875190834
22495,"12506588-1",-0.189625425221362
44566,"25910373-1",0.745311719946685
49380,"28898141-1",0.626888223183067
53254,"771752-2",-0.143817977593832
64908,"8363323-2",-0.00930717207184859
66533,"9596019-2",-0.0279762266362412
72088,"13853985-2",0.206835991218317
77869,"17874213-2",-0.118266113244539
80779,"241235-3",4.4329629471555e-05
82865,"1361967-3",0.323124408407356
83949,"2036766-3",-1.422473824846
87248,"4037889-3",0.0255495431754505
95234,"8300660-3",-0.0576390737307237
137249,"6865040-4",-1.85277683294342
138507,"7228711-4",0.0491902096566148
138755,"7323012-4",-0.263900612860262
151955,"12958027-4",0.17133351637424
197842,"18434720-5",1.63464591656527
206472,"22660445-5",0.0791418676996161
