"index","position","effect"
4698,"2943429-1",3.32843490643475e-05
10609,"6151520-1",-0.0848795101647909
17330,"10081934-1",0.369527672806087
21460,"12061159-1",0.115124348816372
27913,"17276269-1",0.0905035116776861
45440,"26315277-1",0.0338642227613539
51639,"30227972-1",0.0449156992221429
65846,"9020095-2",-2.45659197100407
81538,"644017-3",-0.475669814276666
85714,"3157866-3",0.268704065509357
86907,"3836714-3",0.238605910911758
93332,"7304462-3",-0.113608858948187
97031,"9154126-3",-0.0550831951921594
98646,"9784282-3",-0.572615250155196
133553,"5196433-4",-0.262085242976777
159573,"17750680-4",-0.104696337814343
164582,"2059614-5",-0.365359120462778
188352,"14824167-5",-0.214515006750802
201299,"19941254-5",0.0311975339192819
205859,"22286800-5",0.138061132810825
